date,VOO,KMLM
2002-08-02,232.2918083867,405.2560235703
2002-08-05,224.2087355018,404.2047861447
2002-08-06,231.7564151322,399.6983420141
2002-08-07,235.7978803850,404.2099978316
2002-08-08,243.4258460647,398.7750849100
2002-08-09,244.3359180959,402.0455276283
2002-08-12,242.5426837024,407.7967521522
2002-08-13,238.1264605733,410.7908431759
2002-08-14,246.8251178425,414.5543150027
2002-08-15,250.2510145309,413.8430887601
2002-08-16,249.5014829585,410.2537411735
2002-08-19,255.3362617044,405.0197229823
2002-08-20,252.6330185593,407.8550875079
2002-08-21,256.2730693855,407.4667100505
2002-08-22,258.7621425728,399.5262380880
2002-08-23,253.1951000040,401.9354547325
2002-08-26,254.9615671077,404.4443235047
2002-08-27,252.0174025351,409.2026732183
2002-08-28,246.5037521665,408.3882854804
2002-08-29,246.6109004250,412.2573615396
2002-08-30,245.6473729139,413.0560020717
2002-09-03,236.2797390601,420.9218947876
2002-09-04,239.6519587898,422.4962098740
2002-09-05,237.6178978882,426.9397681067
2002-09-06,240.8833806771,428.2211447583
2002-09-09,242.6498477808,431.3047562733
2002-09-10,245.4332978756,429.5615405596
2002-09-11,243.9077205596,427.5073091145
2002-09-12,239.4113537604,427.5068537195
2002-09-13,240.0000126559,426.9954422479
2002-09-16,240.5888772103,428.0741409730
2002-09-17,235.0752584815,426.8430481854
2002-09-18,232.7200692026,430.1848826861
2002-09-19,226.6979036086,433.2534033294
2002-09-20,226.7732538457,428.0575805906
2002-09-23,224.9181319596,429.9955349845
2002-09-24,221.2887595734,432.8377701215
2002-09-25,226.7732538457,428.1806434679
2002-09-26,230.4833077789,429.0335455549
2002-09-27,222.4715985134,431.8751939099
2002-09-30,219.8907223814,434.0904252201
2002-10-01,230.4564613896,432.0441839325
2002-10-02,223.5470518963,430.4647708075
2002-10-03,221.2887595734,427.2644549077
2002-10-04,217.2291330625,426.0868361544
2002-10-07,212.7393631663,428.9644648220
2002-10-08,216.0731088720,428.7950013650
2002-10-09,209.9702300911,431.6302363074
2002-10-10,216.7720009087,425.2813965672
2002-10-11,226.2623814535,424.3337461667
2002-10-14,227.5259810402,428.3630500040
2002-10-15,238.4680599157,424.2953541849
2002-10-16,232.6879073232,424.8318962638
2002-10-17,237.3120515451,422.7886946175
2002-10-18,238.3068708405,422.9669339487
2002-10-21,242.4202534097,416.6431196861
2002-10-22,240.6726594600,415.3432498290
2002-10-23,242.5007767576,417.0808862526
2002-10-24,237.5539379872,417.7811217818
2002-10-25,242.5007767576,415.5004640228
2002-10-28,240.9145142623,419.4893516557
2002-10-29,238.1185822575,422.2113636197
2002-10-30,240.4306464585,420.3849118454
2002-10-31,237.9842870314,425.2742291071
2002-11-01,242.6889387814,425.3523571073
2002-11-04,245.0011295417,422.2104909130
2002-11-05,246.9369804346,419.0549187728
2002-11-06,250.1360195964,418.2369100235
2002-11-07,244.0063735258,421.4070248376
2002-11-08,241.0220738385,422.3949735851
2002-11-11,237.2852051558,422.0945110110
2002-11-12,239.1670468719,420.4586882378
2002-11-13,239.4090440534,416.6009813189
2002-11-14,243.9257236186,415.6888968255
2002-11-15,245.7269154274,417.5684833929
2002-11-18,243.2535830517,420.5108441922
2002-11-19,242.9309359629,421.9568540474
2002-11-20,248.3347328681,421.1279150167
2002-11-21,252.9590036493,420.8820590514
2002-11-22,251.1577327410,421.7570810678
2002-11-25,251.3189850957,418.5690488062
2002-11-26,246.5335568792,420.9944258592
2002-11-27,253.4696545627,417.4112137779
2002-11-29,252.6633769689,419.7846108610
2002-12-02,253.0664841260,421.0159617124
2002-12-03,249.6791089214,420.3865371966
2002-12-04,248.5498203807,420.7931770551
2002-12-05,245.8077077139,423.3931395560
2002-12-06,247.4207058591,425.5046693911
2002-12-09,240.6189034017,427.1118272349
2002-12-10,243.8450578914,429.4322833484
2002-12-11,244.0601612239,431.1822767705
2002-12-12,244.0331091757,438.1220753838
2002-12-13,240.1886967367,441.2801078996
2002-12-16,246.3991192739,444.9106826625
2002-12-17,244.2482599680,446.2270207005
2002-12-18,241.4253708345,448.5882002899
2002-12-19,239.7047814732,451.7160570754
2002-12-20,243.1251253728,450.8567586130
2002-12-23,243.2062024177,454.6354983985
2002-12-24,241.3959774395,458.0665071340
2002-12-26,241.5040590728,458.0859501145
2002-12-27,236.0737479964,461.6640314858
2002-12-30,238.0460163249,456.8932356790
2002-12-31,238.3701663052,458.1703285711
2003-01-02,246.0429181535,457.3076690654
2003-01-03,246.7993630271,462.7936839386
2003-01-06,251.1491267093,460.9838398500
2003-01-07,250.5277680573,456.9145339130
2003-01-08,246.9074921201,461.6192982491
2003-01-09,250.7438838641,463.7744919845
2003-01-10,251.4193149725,463.7720633783
2003-01-13,251.3382379277,465.3822654734
2003-01-14,252.1486761582,465.6849156271
2003-01-15,249.6362053222,469.3609895000
2003-01-16,248.6096354650,474.8301644801
2003-01-17,244.9352554315,479.1838822222
2003-01-21,241.1258366360,479.4302145283
2003-01-22,238.2079963956,480.9165399680
2003-01-23,239.6670826249,481.5413344678
2003-01-24,233.3720552026,489.9887344061
2003-01-27,230.1841057985,487.1255609213
2003-01-28,231.8861858637,487.7425015613
2003-01-29,233.6421485464,494.6746153843
2003-01-30,228.1036925571,494.1983547129
2003-01-31,232.5075603356,492.2032346188
2003-02-03,232.9668281774,490.1139210235
2003-02-04,230.6702833093,498.8363609907
2003-02-05,229.2383756875,496.7801327830
2003-02-06,228.1576859140,500.7790998381
2003-02-07,225.3750584546,505.9863168720
2003-02-10,226.9690568865,497.7037248189
2003-02-11,225.4020155832,501.6272183736
2003-02-12,221.8088233340,498.0577162470
2003-02-13,222.4841120632,503.6810933399
2003-02-14,227.3472635034,500.4752225032
2003-02-18,231.3458093372,497.2301905042
2003-02-19,230.1299384226,506.7806567077
2003-02-20,227.8335359337,507.2834023456
2003-02-21,230.1299384226,512.5166872346
2003-02-24,226.4016757716,524.7715917057
2003-02-25,228.2117425506,516.3818106577
2003-02-26,224.8887069248,523.1609139714
2003-02-27,227.8605721619,519.2012083978
2003-02-28,229.3734935490,523.5237272742
2003-03-03,227.1852834327,524.4179318020
2003-03-04,223.5648967561,524.6944715075
2003-03-05,225.4560247601,528.9585121160
2003-03-06,223.5648967561,530.0205299955
2003-03-07,225.1047278121,538.5447587955
2003-03-10,219.7014371440,538.1119255076
2003-03-11,217.5401525166,533.4930151520
2003-03-12,218.9989698074,531.2470950906
2003-03-13,226.5638140414,512.2100173984
2003-03-14,227.2932701465,509.4575608166
2003-03-17,234.4526500566,499.4671364582
2003-03-18,235.8304852220,490.8781597920
2003-03-19,237.6406311006,482.5374984646
2003-03-20,238.1540030387,480.3062028559
2003-03-21,243.2373834626,470.3003005801
